Date,Open,High,Low,Close,Adj Close,Volume
2020-01-21,340.000000,341.000000,332.589996,338.109985,338.109985,14350300
2020-01-22,332.549988,336.299988,323.600006,326.000000,326.000000,21730000
2020-01-23,326.040009,349.880005,325.010010,349.600006,349.600006,18200300
2020-01-24,348.459991,359.850006,345.880005,353.160004,353.160004,17939700
2020-01-27,345.950012,351.899994,341.019989,342.880005,342.880005,7709500
2020-01-28,345.880005,352.399994,342.779999,348.519989,348.519989,6821600
2020-01-29,349.000000,349.399994,338.549988,343.160004,343.160004,7643500
2020-01-30,341.100006,348.200012,339.250000,347.739990,347.739990,5328100
2020-01-31,347.390015,347.390015,340.980011,345.089996,345.089996,5230000
2020-02-03,347.239990,359.630005,346.279999,358.000000,358.000000,6674900
2020-02-04,361.000000,369.570007,356.100006,369.010010,369.010010,7161500
2020-02-05,375.130005,375.250000,362.299988,369.670013,369.670013,6437000
2020-02-06,369.600006,371.549988,362.510010,366.950012,366.950012,3920400
2020-02-07,365.040009,371.799988,363.570007,366.769989,366.769989,4385200
2020-02-10,365.000000,374.799988,362.519989,371.070007,371.070007,5294100
2020-02-11,373.750000,378.109985,369.720001,373.690002,373.690002,4772900
2020-02-12,377.179993,380.619995,375.880005,380.010010,380.010010,4624800
2020-02-13,376.959991,385.369995,376.510010,381.399994,381.399994,4485400
2020-02-14,381.470001,385.149994,379.429993,380.399994,380.399994,3736300
2020-02-18,379.299988,389.540009,379.190002,387.779999,387.779999,5173900
2020-02-19,388.119995,392.950012,384.899994,386.190002,386.190002,4896400
2020-02-20,386.559998,389.700012,376.679993,386.000000,386.000000,4079400
2020-02-21,385.329987,387.320007,377.899994,380.070007,380.070007,3930100
2020-02-24,364.760010,372.820007,361.000000,368.700012,368.700012,6936400
2020-02-25,372.000000,375.649994,357.720001,360.089996,360.089996,6481200
2020-02-26,366.309998,382.000000,365.000000,379.239990,379.239990,8934100
2020-02-27,371.459991,391.559998,370.600006,371.709991,371.709991,10967700
2020-02-28,364.209991,376.769989,356.799988,369.029999,369.029999,11178600
2020-03-02,373.109985,381.359985,364.500000,381.049988,381.049988,6997900
2020-03-03,381.029999,393.519989,367.399994,368.769989,368.769989,8364600
2020-03-04,377.769989,384.010010,370.510010,383.790009,383.790009,5487300
2020-03-05,381.000000,391.399994,368.640015,372.779999,372.779999,8747000
2020-03-06,367.700012,371.309998,356.850006,368.970001,368.970001,8147200
2020-03-09,343.859985,357.470001,341.720001,346.489990,346.489990,7405500
2020-03-10,356.429993,364.540009,347.850006,364.130005,364.130005,7604400
2020-03-11,358.920013,362.980011,344.790009,349.920013,349.920013,6036000
2020-03-12,326.500000,335.720001,307.320007,315.250000,315.250000,12071600
