Date,Open,High,Low,Close,Adj Close,Volume
2020-01-29,324.450012,327.850006,321.380005,324.339996,323.572052,54057300
2020-01-30,320.540009,324.089996,318.750000,323.869995,323.103180,31685800
2020-01-31,320.929993,322.679993,308.290009,309.510010,308.777191,49897100
2020-02-03,304.299988,313.489990,302.220001,308.660004,307.929199,43496400
2020-02-04,315.309998,319.640015,313.630005,318.850006,318.095062,34154100
2020-02-05,323.519989,324.760010,318.950012,321.450012,320.688934,29706700
2020-02-06,322.570007,325.220001,320.260010,325.209991,324.440002,26356400
2020-02-07,322.369995,323.399994,318.000000,320.029999,320.029999,29421000
2020-02-10,314.179993,321.549988,313.850006,321.549988,321.549988,27337200
2020-02-11,323.600006,323.899994,318.709991,319.609985,319.609985,23580800
2020-02-12,321.470001,327.220001,321.470001,327.200012,327.200012,28432600
2020-02-13,324.190002,326.220001,323.350006,324.869995,324.869995,23686900
2020-02-14,324.739990,325.980011,322.850006,324.950012,324.950012,20028400
2020-02-18,315.359985,319.750000,314.609985,319.000000,319.000000,38132800
2020-02-19,320.000000,324.570007,320.000000,323.619995,323.619995,23496000
2020-02-20,322.630005,324.649994,318.209991,320.299988,320.299988,25141500
2020-02-21,318.619995,320.450012,310.500000,313.049988,313.049988,32388500
2020-02-24,297.260010,304.179993,289.230011,298.179993,298.179993,55548800
2020-02-25,300.950012,302.529999,286.130005,288.079987,288.079987,57668400
2020-02-26,286.529999,297.880005,286.500000,292.649994,292.649994,49513700
2020-02-27,281.100006,286.000000,272.959991,273.519989,273.519989,80151400
2020-02-28,257.260010,278.410004,256.369995,273.359985,273.359985,106721200
2020-03-02,282.279999,301.440002,277.720001,298.809998,298.809998,85349300
2020-03-03,303.670013,304.000000,285.799988,289.320007,289.320007,79868900
2020-03-04,296.440002,303.399994,293.130005,302.739990,302.739990,54794600
2020-03-05,295.519989,299.549988,291.410004,292.920013,292.920013,46893200
2020-03-06,282.000000,290.820007,281.230011,289.029999,289.029999,56544200
2020-03-09,263.750000,278.089996,263.000000,266.170013,266.170013,71686200
2020-03-10,277.140015,286.440002,269.369995,285.339996,285.339996,71322500
2020-03-11,277.390015,281.220001,271.859985,275.429993,275.429993,63899700
2020-03-12,255.940002,270.000000,248.000000,248.229996,248.229996,104618500
